TrialNumber,quadrant,speed,speed_px,motion_cycle,ran,order,n_cue,saccade_delay,sub,ses,run,target,trial_type,saccade_dur,target_pos_x,target_pos_y,saccade_spos_x,saccade_spos_y,saccade_epos_x,saccade_epos_y,target_pos_x_deg,target_pos_y_deg,saccade_spos_x_deg,saccade_spos_y_deg,saccade_epos_x_deg,saccade_epos_y_deg
82,2,0.24,6.56,700.0,1.0,81.0,4.0,454.0,1.0,1.0,0.0,bot,test,600.17,165.27,165.27,-54.9,14.5,119.6,-67.8,6.0,6.0,-1.99,-0.53,4.34,2.46
83,2,0.24,6.56,700.0,1.0,82.0,9.0,541.0,1.0,1.0,0.0,top,test,600.16,275.45,275.45,-46.1,7.9,79.6,-178.7,10.0,10.0,-1.67,-0.29,2.89,6.49
84,1,0.24,6.56,700.0,1.0,83.0,5.0,426.0,1.0,1.0,0.0,top,test,600.22,-165.27,275.45,-28.3,6.1,-167.8,-166.1,-6.0,10.0,-1.03,-0.22,-6.09,6.03
85,2,0.24,6.56,700.0,1.0,84.0,7.0,494.0,1.0,1.0,0.0,top,test,600.2,275.45,275.45,-36.5,-5.1,104.5,-164.4,10.0,10.0,-1.33,0.19,3.79,5.97
86,1,0.24,6.56,700.0,1.0,85.0,7.0,543.0,1.0,1.0,0.0,top,test,600.18,-165.27,275.45,8.5,32.7,-159.8,-173.2,-6.0,10.0,0.31,-1.19,-5.8,6.29
87,2,0.24,6.56,700.0,1.0,86.0,4.0,558.0,1.0,1.0,0.0,bot,catch,600.21,165.27,165.27,-16.3,9.2,66.6,-124.4,6.0,6.0,-0.59,-0.33,2.42,4.52
88,1,0.24,6.56,700.0,1.0,87.0,5.0,529.0,1.0,1.0,0.0,top,test,600.18,-165.27,275.45,-13.7,7.6,-170.0,-166.0,-6.0,10.0,-0.5,-0.28,-6.17,6.03
89,2,0.24,6.56,700.0,1.0,88.0,4.0,522.0,1.0,1.0,0.0,bot,test,600.16,165.27,165.27,-1.9,28.1,119.5,-67.2,6.0,6.0,-0.07,-1.02,4.34,2.44
90,2,0.24,6.56,700.0,1.0,89.0,4.0,525.0,1.0,1.0,0.0,bot,test,600.24,165.27,165.27,1.8,24.0,123.0,-56.5,6.0,6.0,0.07,-0.87,4.47,2.05
91,1,0.24,6.56,700.0,1.0,90.0,7.0,506.0,1.0,1.0,0.0,top,test,600.2,-165.27,275.45,8.3,30.2,-169.8,-173.4,-6.0,10.0,0.3,-1.1,-6.16,6.3
92,1,0.24,6.56,700.0,1.0,91.0,9.0,594.0,1.0,1.0,0.0,top,test,600.16,-165.27,275.45,0.3,16.1,-166.7,-155.5,-6.0,10.0,0.01,-0.58,-6.05,5.65
93,1,0.24,6.56,700.0,1.0,92.0,7.0,566.0,1.0,1.0,0.0,top,test,600.19,-165.27,275.45,-15.3,-6.1,-194.4,-202.9,-6.0,10.0,-0.56,0.22,-7.06,7.37
94,2,0.24,6.56,700.0,1.0,93.0,9.0,424.0,1.0,1.0,0.0,top,test,600.2,275.45,275.45,-13.1,20.1,131.5,-171.9,10.0,10.0,-0.48,-0.73,4.77,6.24
95,2,0.24,6.56,700.0,1.0,94.0,4.0,550.0,1.0,1.0,0.0,bot,test,600.16,165.27,165.27,-5.5,29.3,116.8,-68.1,6.0,6.0,-0.2,-1.06,4.24,2.47
96,2,0.24,6.56,700.0,1.0,95.0,7.0,455.0,1.0,1.0,0.0,top,test,661.97,275.45,275.45,11.0,29.1,186.8,-184.6,10.0,10.0,0.4,-1.06,6.78,6.7
97,2,0.24,6.56,700.0,1.0,96.0,7.0,537.0,1.0,1.0,0.0,top,test,600.16,275.45,275.45,-6.1,19.0,125.4,-168.7,10.0,10.0,-0.22,-0.69,4.55,6.12
98,1,0.24,6.56,700.0,1.0,97.0,8.0,531.0,1.0,1.0,0.0,bot,test,600.18,-275.45,165.27,2.3,30.2,-164.4,-51.7,-10.0,6.0,0.08,-1.1,-5.97,1.88
99,1,0.24,6.56,700.0,1.0,98.0,4.0,566.0,1.0,1.0,0.0,bot,test,600.14,-275.45,165.27,-18.6,3.1,-155.1,-59.6,-10.0,6.0,-0.68,-0.11,-5.63,2.16
100,1,0.24,6.56,700.0,1.0,99.0,4.0,572.0,1.0,1.0,0.0,bot,test,600.29,-275.45,165.27,16.3,23.3,-173.5,-73.1,-10.0,6.0,0.59,-0.85,-6.3,2.65
